Name,Color
Contig_10_118.687,Purple
Contig_11_87.2155,Purple
Contig_12_211.526,Purple
Contig_13_109.738,Purple
Contig_14_93.9823,Purple
Contig_15_281.151,Purple
Contig_16_362.593,Purple
Contig_17_1372.84,Purple
Contig_18_112.602,Purple
Contig_19_74.0197,Purple
Contig_1_95.8884,Purple
Contig_20_100.575,Purple
Contig_21_81.0144,Purple
Contig_22_79.7475,Purple
Contig_23_94.971,Purple
Contig_24_105.69,Purple
Contig_25_114.835,Purple
Contig_26_84.517,Purple
Contig_27_99.1081,Purple
Contig_28_144.635,Purple
Contig_29_80.29,Purple
Contig_2_103.286,Purple
Contig_30_97.8504,Purple
Contig_31_154.539,Purple
Contig_32_99.8405,Purple
Contig_33_112.817,Purple
Contig_34_136.037,Purple
Contig_35_111.966,Purple
Contig_36_109.366,Purple
Contig_37_107.972,Purple
Contig_38_226.915,Purple
Contig_39_107.789,Purple
Contig_3_88.9813,Purple
Contig_40_103.62,Purple
Contig_41_320.255,Purple
Contig_42_98.7654,Purple
Contig_43_90.7769,Purple
Contig_44_92.0979,Purple
Contig_45_102.922,Purple
Contig_46_79.2581,Purple
Contig_47_219.731,Purple
Contig_48_334.862,Purple
Contig_49_211.099,Purple
Contig_4_75.2143,Purple
Contig_50_129.931,Purple
Contig_51_106.055,Purple
Contig_52_102.341,Purple
Contig_53_103.595,Purple
Contig_54_203.464,Purple
Contig_55_108.088,Purple
Contig_56_91.8144,Purple
Contig_57_665.292,Purple
Contig_58_121.818,Purple
Contig_59_1382.02,Purple
Contig_5_120.869,Purple
Contig_60_97.9321,Purple
Contig_61_99.5705,Purple
Contig_62_87.225,Purple
Contig_63_137.854,Purple
Contig_64_98.5938,Purple
Contig_65_81.6382,Purple
Contig_66_104.146,Purple
Contig_67_80.8453,Purple
Contig_68_115.274,Purple
Contig_69_125.68,Purple
Contig_6_95.9728,Purple
Contig_70_746.915,Purple
Contig_71_132.186,Purple
Contig_72_74.2958,Purple
Contig_73_108.113,Purple
Contig_74_99.3917,Purple
Contig_7_102.535,Purple
Contig_8_840.995,Purple
Contig_9_131.165,Purple
Contig_11_87.2155:3p:1:7,Lime Green
Contig_11_87.2155:3p:1:8,Lime Green
Contig_11_87.2155:3p:1:9,Lime Green
Contig_11_87.2155:3p:1:11,Lime Green
Contig_12_211.526:3p:1:2,Lime Green
Contig_12_211.526:3p:1:3,Lime Green
Contig_12_211.526:3p:1:4,Lime Green
Contig_15_281.151:3p:1:5,Lime Green
Contig_15_281.151:3p:1:7,Lime Green
Contig_15_281.151:3p:1:8,Lime Green
Contig_15_281.151:3p:1:9,Lime Green
Contig_15_281.151:3p:1:14,Lime Green
Contig_15_281.151:3p:1:17,Lime Green
Contig_15_281.151:3p:1:19,Lime Green
Contig_15_281.151:3p:1:20,Lime Green
Contig_15_281.151:3p:1:23,Lime Green
Contig_15_281.151:3p:1:26,Lime Green
Contig_15_281.151:3p:1:29,Lime Green
Contig_15_281.151:3p:1:32,Lime Green
Contig_15_281.151:3p:1:33,Lime Green
Contig_15_281.151:3p:1:34,Lime Green
Contig_15_281.151:3p:1:40,Lime Green
Contig_15_281.151:3p:1:44,Lime Green
Contig_15_281.151:3p:1:46,Lime Green
Contig_15_281.151:3p:1:47,Lime Green
Contig_15_281.151:3p:1:48,Lime Green
Contig_15_281.151:3p:1:49,Lime Green
Contig_16_362.593:5p:1:15,Lime Green
Contig_16_362.593:5p:1:16,Lime Green
Contig_16_362.593:5p:1:17,Lime Green
Contig_16_362.593:5p:1:20,Lime Green
Contig_16_362.593:5p:1:21,Lime Green
Contig_16_362.593:5p:1:22,Lime Green
Contig_16_362.593:5p:1:24,Lime Green
Contig_16_362.593:5p:1:27,Lime Green
Contig_16_362.593:5p:1:28,Lime Green
Contig_16_362.593:5p:1:30,Lime Green
Contig_16_362.593:5p:1:32,Lime Green
Contig_16_362.593:5p:1:33,Lime Green
Contig_16_362.593:5p:1:35,Lime Green
Contig_16_362.593:5p:1:36,Lime Green
Contig_16_362.593:5p:1:38,Lime Green
Contig_16_362.593:5p:1:39,Lime Green
Contig_16_362.593:5p:1:40,Lime Green
Contig_16_362.593:5p:1:41,Lime Green
Contig_16_362.593:5p:1:42,Lime Green
Contig_16_362.593:5p:1:45,Lime Green
Contig_16_362.593:5p:1:46,Lime Green
Contig_16_362.593:5p:1:50,Lime Green
Contig_16_362.593:5p:1:51,Lime Green
Contig_16_362.593:5p:1:54,Lime Green
Contig_16_362.593:5p:1:55,Lime Green
Contig_16_362.593:5p:1:56,Lime Green
Contig_16_362.593:5p:1:57,Lime Green
Contig_16_362.593:5p:1:58,Lime Green
Contig_16_362.593:5p:1:59,Lime Green
Contig_16_362.593:5p:1:60,Lime Green
Contig_16_362.593:5p:1:61,Lime Green
Contig_16_362.593:5p:1:62,Lime Green
Contig_16_362.593:5p:1:64,Lime Green
Contig_16_362.593:5p:1:65,Lime Green
Contig_16_362.593:5p:1:66,Lime Green
Contig_16_362.593:5p:1:67,Lime Green
Contig_16_362.593:5p:1:69,Lime Green
Contig_20_100.575:3p:1:1,Lime Green
Contig_20_100.575:3p:1:5,Lime Green
Contig_20_100.575:3p:1:6,Lime Green
Contig_20_100.575:3p:1:7,Lime Green
Contig_20_100.575:3p:1:8,Lime Green
Contig_20_100.575:3p:1:9,Lime Green
Contig_20_100.575:3p:1:10,Lime Green
Contig_22_79.7475:3p:1:7,Lime Green
Contig_22_79.7475:3p:1:10,Lime Green
Contig_22_79.7475:3p:1:11,Lime Green
Contig_22_79.7475:3p:1:12,Lime Green
Contig_22_79.7475:3p:1:14,Lime Green
Contig_22_79.7475:3p:1:15,Lime Green
Contig_22_79.7475:3p:1:17,Lime Green
Contig_22_79.7475:3p:1:18,Lime Green
Contig_22_79.7475:3p:1:20,Lime Green
Contig_22_79.7475:3p:1:21,Lime Green
Contig_28_144.635:3p:1:3,Lime Green
Contig_28_144.635:5p:1:3,Lime Green
Contig_28_144.635:5p:1:5,Lime Green
Contig_28_144.635:5p:1:6,Lime Green
Contig_41_320.255:3p:1:3,Lime Green
Contig_41_320.255:3p:1:4,Lime Green
Contig_42_98.7654:3p:1:4,Lime Green
Contig_42_98.7654:3p:1:5,Lime Green
Contig_42_98.7654:3p:1:7,Lime Green
Contig_42_98.7654:3p:1:9,Lime Green
Contig_51_106.055:3p:1:2,Lime Green
Contig_51_106.055:3p:1:3,Lime Green
Contig_51_106.055:3p:1:4,Lime Green
Contig_51_106.055:3p:1:8,Lime Green
Contig_51_106.055:3p:1:10,Lime Green
Contig_51_106.055:3p:1:11,Lime Green
Contig_59_1382.02:3p:1:3,Lime Green
Contig_59_1382.02:3p:1:4,Lime Green
Contig_70_746.915:3p:1:2,Lime Green
Contig_70_746.915:3p:1:4,Lime Green
Contig_70_746.915:3p:1:5,Lime Green
Contig_70_746.915:3p:1:6,Lime Green
Contig_70_746.915:3p:1:7,Lime Green
Contig_70_746.915:3p:1:8,Lime Green
Contig_70_746.915:3p:1:9,Lime Green
Contig_70_746.915:3p:1:10,Lime Green
Contig_70_746.915:3p:1:11,Lime Green
Contig_7_102.535:5p:1:2,Lime Green
