ERR4626689	Rostov2039	Illumina HiSeq
ERR4626688      Rostov2039      Illumina NextSeq lib4
ERR4626687      Rostov2039      Illumina NextSeq lib3
ERR4626686      Rostov2039      Illumina NextSeq lib2
ERR4626685	Rostov2039      Illumina NextSeq lib1
ERR4626684      Rostov2033      Illumina HiSeq
ERR4626683      Rostov2033      Illumina NextSeq lib3
ERR4626682      Rostov2033      Illumina NextSeq lib2
ERR4626678      Rostov2033      Illumina NextSeq lib1
ERR4626677      Rostov1639      Illumina HiSeq
ERR4626676      Rostov1639      Illumina NextSeq lib3
ERR4626675      Rostov1639      Illumina NextSeq lib2
ERR4626674      Rostov1639      Illumina NextSeq lib1
ERR4626666      Gdansk8      Illumina HiSeq
ERR4626656      Gdansk8      Illumina NextSeq lib4
ERR4624301	Gdansk8      Illumina NextSeq lib3
ERR4624269	Gdansk8      Illumina NextSeq lib2
ERR4624268	Gdansk8      Illumina NextSeq lib1
ERR4624266	Azov8	Illumina HiSeq
ERR4624261	Azov8	Illumina NextSeq lib3
ERR4624259      Azov8   Illumina NextSeq lib2
ERR4624258      Azov8   Illumina NextSeq lib1
