contig_name,plasmid_score,chromosome_score,predicted_label
152,0.99943906,0.9793571,Ambiguous
151,0.9056878,0.16241214,Plasmid
135,0.9470649,0.09774563,Plasmid
37,0.025022605,0.9525505,Chromosome
95,0.9994167,0.44218823,Plasmid
10,5.7447935e-05,0.9999682,Chromosome
166,0.06840808,0.98405576,Chromosome
76,0.031087156,0.9829154,Chromosome
149,0.5793488,0.9960775,Ambiguous
105,0.35307437,0.66610914,Chromosome
145,0.6322165,0.9998822,Ambiguous
65,0.006711892,0.99468225,Chromosome
73,0.9007969,0.11689756,Plasmid
139,0.9202325,0.09082792,Plasmid
140,0.8517435,0.58985513,Ambiguous
62,0.83530164,0.16267884,Plasmid
98,0.6594353,0.37048072,Plasmid
162,0.95301473,0.28641868,Plasmid
134,0.8181438,0.20724325,Plasmid
3,1.6060585e-05,0.9999882,Chromosome
102,0.19305009,0.99894494,Chromosome
46,0.002211618,0.9983014,Chromosome
83,0.80295753,0.17897977,Plasmid
90,0.8428114,0.16053796,Plasmid
107,0.8906392,0.11887205,Plasmid
164,0.9349892,0.10760445,Plasmid
58,0.0585232,0.9443671,Chromosome
141,0.38527372,1.0,Chromosome
28,0.00070015807,0.9995097,Chromosome
4,1.7771126e-05,0.99998677,Chromosome
154,0.69068384,0.9726907,Ambiguous
114,0.46181452,0.42258254,not_labelled
25,0.7716827,0.281782,Plasmid
123,0.61272097,0.6438522,Ambiguous
77,0.4458326,0.575557,Chromosome
103,0.47696143,0.5756993,Chromosome
167,0.46879247,0.9282954,Chromosome
108,0.061864264,0.9443313,Chromosome
45,0.00785874,0.99465394,Chromosome
34,0.0010598253,0.9992298,Chromosome
21,0.00082941883,0.9989905,Chromosome
26,0.0009897071,0.9992793,Chromosome
36,0.002267553,0.9985648,Chromosome
53,0.010018677,0.9896612,Chromosome
54,0.005719121,0.99621373,Chromosome
60,0.19841206,0.7978719,Chromosome
110,0.24610057,0.78429216,Chromosome
118,0.2298678,0.79957366,Chromosome
