contig_name,plasmid_score,chromosome_score,predicted_label
411,0.68111545,0.36903256,Plasmid
198,0.7199717,0.42086175,Plasmid
612,0.8250104,0.5241922,Ambiguous
274,0.6352621,0.35447463,Plasmid
178,0.6358208,0.3920082,Plasmid
20,0.28349984,0.6538934,Chromosome
21,0.2617063,0.6364626,Chromosome
106,0.7116448,0.41238862,Plasmid
538,0.694601,0.27421054,Plasmid
558,0.72005916,0.34046307,Plasmid
529,0.82288384,0.6961475,Ambiguous
434,0.6771276,0.31772664,Plasmid
417,0.67760396,0.34687218,Plasmid
9,0.23133291,0.68080246,Chromosome
122,0.6281192,0.39035243,Plasmid
299,0.6127105,0.34163165,Plasmid
349,0.6381396,0.3544208,Plasmid
392,0.66568,0.3625345,Plasmid
68,0.7582154,0.42367682,Plasmid
87,0.7156878,0.4274433,Plasmid
330,0.7685661,0.4284819,Plasmid
458,0.94440514,0.99178845,Ambiguous
542,0.74931854,0.29992002,Plasmid
221,0.7205881,0.40959823,Plasmid
421,0.66041857,0.33154464,Plasmid
425,0.6660092,0.33151692,Plasmid
597,0.8803316,0.812086,Ambiguous
576,0.97496575,0.97826207,Ambiguous
551,0.58536524,0.41009146,Plasmid
539,0.7541355,0.6858007,Ambiguous
570,0.89537317,0.58111864,Ambiguous
545,0.95738596,0.93368685,Ambiguous
104,0.4320844,0.50191116,Chromosome
50,0.2024403,0.7407552,Chromosome
462,0.69145495,0.30022302,Plasmid
239,0.65248364,0.38141894,Plasmid
616,0.3588554,0.8228063,Chromosome
609,0.3858708,0.85572237,Chromosome
583,0.72960514,0.27704483,Plasmid
321,0.64220005,0.35064274,Plasmid
560,0.75264525,0.5521314,Ambiguous
317,0.6402454,0.3599182,Plasmid
595,0.66921955,0.5246911,Ambiguous
562,0.6763689,0.39586282,Plasmid
543,0.6774714,0.3966785,Plasmid
441,0.6644292,0.34259295,Plasmid
115,0.6348226,0.3735421,Plasmid
40,0.43179128,0.47661766,not_labelled
617,0.72185415,0.2818046,Plasmid
432,0.697866,0.29630685,Plasmid
293,0.62995124,0.36585873,Plasmid
531,0.99484295,0.99120283,Ambiguous
608,0.9999887,0.60886735,Ambiguous
619,0.7460263,0.27034298,Plasmid
535,0.9765926,0.8979216,Ambiguous
395,0.6514645,0.31565812,Plasmid
58,0.65533584,0.4307706,Plasmid
528,0.9195714,0.95023555,Ambiguous
110,0.6376589,0.40514827,Plasmid
431,0.98619276,0.8596866,Ambiguous
577,0.6890603,0.6096051,Ambiguous
592,0.77336437,0.6145138,Ambiguous
350,0.7232585,0.41112268,Plasmid
22,0.68039143,0.26593608,Plasmid
266,0.73349583,0.4389182,Plasmid
518,0.51814777,0.5123393,Ambiguous
49,0.22321983,0.7030337,Chromosome
39,0.6143889,0.36745602,Plasmid
126,0.5720084,0.3926914,Plasmid
173,0.5975903,0.36892682,Plasmid
14,0.62996,0.36678138,Plasmid
30,0.35604596,0.5699777,Chromosome
45,0.34621847,0.5917825,Chromosome
148,0.72603774,0.40886876,Plasmid
311,0.7006519,0.3918948,Plasmid
585,0.69813967,0.38004598,Plasmid
618,0.9531216,0.92194873,Ambiguous
568,0.9925452,0.9997769,Ambiguous
226,0.63195103,0.36357084,Plasmid
362,0.64732397,0.35367042,Plasmid
452,0.6681489,0.32931438,Plasmid
582,0.7792158,0.5209254,Ambiguous
555,0.58922243,0.4151544,Plasmid
389,0.66458994,0.36115363,Plasmid
622,0.82927257,0.6831003,Ambiguous
218,0.76631945,0.42274144,Plasmid
416,0.64572895,0.30050835,Plasmid
163,0.583349,0.3733909,Plasmid
390,0.65201235,0.3544273,Plasmid
540,0.7157593,0.28885663,Plasmid
477,0.6673764,0.30825835,Plasmid
472,0.694205,0.32648847,Plasmid
448,0.68314064,0.32345358,Plasmid
445,0.6658259,0.2835589,Plasmid
436,0.65792686,0.31601596,Plasmid
401,0.66941434,0.36492887,Plasmid
366,0.63055974,0.34143052,Plasmid
363,0.6912009,0.38468698,Plasmid
341,0.6284178,0.34369618,Plasmid
319,0.65746576,0.32487214,Plasmid
312,0.6388023,0.37398502,Plasmid
260,0.67366725,0.39827514,Plasmid
259,0.6494248,0.37614033,Plasmid
253,0.695755,0.31201798,Plasmid
242,0.64000255,0.35313317,Plasmid
235,0.6224804,0.36513245,Plasmid
228,0.65066427,0.32334808,Plasmid
224,0.6209074,0.37382928,Plasmid
222,0.65248924,0.383057,Plasmid
208,0.6238119,0.37124738,Plasmid
186,0.6123672,0.36329243,Plasmid
164,0.6202659,0.37644884,Plasmid
156,0.65055776,0.39846015,Plasmid
79,0.48868448,0.45520616,not_labelled
33,0.11332008,0.84274095,Chromosome
32,0.11659063,0.8459929,Chromosome
48,0.455737,0.47121197,not_labelled
52,0.43543178,0.50304544,Chromosome
82,0.56844443,0.5555704,Ambiguous
88,0.36825225,0.55730104,Chromosome
98,0.51652306,0.45129076,Plasmid
102,0.5116519,0.43642518,Plasmid
134,0.593062,0.37824476,Plasmid
137,0.74280965,0.42228633,Plasmid
150,0.5277302,0.42205715,Plasmid
158,0.6608607,0.30626953,Plasmid
185,0.62926054,0.38173488,Plasmid
202,0.6398766,0.35050294,Plasmid
203,0.6425861,0.36274952,Plasmid
229,0.6235461,0.35291758,Plasmid
243,0.6127024,0.3642678,Plasmid
302,0.64505893,0.36254504,Plasmid
314,0.6287806,0.36130676,Plasmid
339,0.6460061,0.35195416,Plasmid
343,0.62779444,0.35553876,Plasmid
359,0.7450388,0.4156092,Plasmid
361,0.6303311,0.34533504,Plasmid
414,0.6574449,0.35850015,Plasmid
446,0.6571874,0.34652883,Plasmid
491,0.6844266,0.3158901,Plasmid
575,0.72309923,0.28211287,Plasmid
304,0.62829226,0.34700993,Plasmid
544,0.9433359,0.93308574,Ambiguous
486,0.93637437,0.8457191,Ambiguous
504,0.7874653,0.365808,Plasmid
133,0.5719684,0.4140636,Plasmid
62,0.56182355,0.42333502,Plasmid
27,0.15799369,0.77831036,Chromosome
35,0.11923826,0.8344714,Chromosome
295,0.64948326,0.3827072,Plasmid
348,0.6315753,0.3454428,Plasmid
356,0.6238383,0.34770927,Plasmid
482,0.76098293,0.38972428,Plasmid
523,0.7003115,0.3004902,Plasmid
610,0.60472184,0.76254183,Ambiguous
530,0.76879793,0.6592345,Ambiguous
494,0.6429497,0.64132,Ambiguous
108,0.5756754,0.4032314,Plasmid
377,0.7022231,0.38707352,Plasmid
615,0.1340521,0.8892688,Chromosome
584,0.23046559,0.94427055,Chromosome
254,0.61707383,0.35538456,Plasmid
141,0.53507245,0.42034245,Plasmid
103,0.57447666,0.85105443,Ambiguous
515,0.7292319,0.45214742,Plasmid
495,0.9725423,0.9678834,Ambiguous
611,0.87681806,0.69258755,Ambiguous
83,0.43963337,0.48457524,not_labelled
479,0.6672528,0.6673029,Ambiguous
554,0.99092674,0.9956216,Ambiguous
170,0.6469912,0.3981314,Plasmid
37,0.5548227,0.3835685,Plasmid
56,0.7579034,0.41020313,Plasmid
131,0.6935748,0.4455713,Plasmid
473,0.67390066,0.31969053,Plasmid
423,0.656806,0.31107795,Plasmid
459,0.7404836,0.39912274,Plasmid
439,0.6894811,0.27848926,Plasmid
244,0.6538344,0.3901308,Plasmid
61,0.27900505,0.535955,Chromosome
57,0.7341467,0.41421694,Plasmid
381,0.67915034,0.31720942,Plasmid
596,0.98707634,0.9166279,Ambiguous
526,0.75131786,0.33679476,Plasmid
328,0.63433206,0.3503579,Plasmid
403,0.67469066,0.37069845,Plasmid
207,0.6122127,0.3633624,Plasmid
67,0.3870572,0.56551415,Chromosome
505,0.6883143,0.30428624,Plasmid
28,0.6871132,0.4000406,Plasmid
8,0.051687054,0.94207436,Chromosome
159,0.73482955,0.4233006,Plasmid
11,0.3125238,0.6180776,Chromosome
364,0.64429855,0.35082662,Plasmid
118,0.575878,0.37451786,Plasmid
536,0.7337452,0.29798988,Plasmid
346,0.6789072,0.3782638,Plasmid
183,0.60554093,0.3649451,Plasmid
152,0.7444303,0.30410928,Plasmid
301,0.65201324,0.37581065,Plasmid
344,0.6641545,0.37181732,Plasmid
438,0.6712016,0.36135867,Plasmid
409,0.71293414,0.32589996,Plasmid
175,0.5590432,0.40082306,Plasmid
564,0.58923274,0.4472697,Plasmid
442,0.7238224,0.38557723,Plasmid
240,0.927184,0.7781014,Ambiguous
590,0.7587539,0.28453487,Plasmid
587,0.25423047,0.8817842,Chromosome
489,0.67125225,0.306291,Plasmid
138,0.71088666,0.406927,Plasmid
572,0.36870396,0.6796142,Chromosome
613,0.41675764,0.8384632,Chromosome
506,0.81093293,0.68538344,Ambiguous
447,0.6708357,0.3350639,Plasmid
574,0.79600775,0.4635633,Plasmid
256,0.61636925,0.35107073,Plasmid
567,0.99999845,0.44584218,Plasmid
15,0.5384884,0.4174005,Plasmid
65,0.676335,0.41184577,Plasmid
355,0.6707547,0.35540673,Plasmid
433,0.9718731,0.9793723,Ambiguous
326,0.7598079,0.42596826,Plasmid
593,0.79313785,0.58121383,Ambiguous
483,0.755348,0.32627958,Plasmid
512,0.72899437,0.33914503,Plasmid
38,0.30167925,0.604901,Chromosome
308,0.6342187,0.34766078,Plasmid
476,0.7078052,0.29749686,Plasmid
267,0.6400088,0.37123787,Plasmid
153,0.5407193,0.40855992,Plasmid
322,0.68444085,0.38136,Plasmid
451,0.6633187,0.30331418,Plasmid
119,0.5644123,0.38630775,Plasmid
132,0.6630931,0.4341979,Plasmid
297,0.64148235,0.36236033,Plasmid
129,0.6577133,0.36376625,Plasmid
557,0.9523457,0.8582912,Ambiguous
382,0.640397,0.3263797,Plasmid
294,0.6419752,0.37017727,Plasmid
54,0.76828533,0.40999174,Plasmid
623,0.7835335,0.5777965,Ambiguous
513,0.69890136,0.29280424,Plasmid
541,0.119014114,0.88497007,Chromosome
160,0.51546675,0.4321922,Plasmid
114,0.43680894,0.5063785,Chromosome
345,0.6820505,0.37885275,Plasmid
307,0.74309653,0.41554126,Plasmid
275,0.61166084,0.34990752,Plasmid
166,0.63936377,0.35408148,Plasmid
547,0.7494223,0.3121032,Plasmid
484,0.6830006,0.31467113,Plasmid
289,0.7238187,0.40442565,Plasmid
223,0.7159144,0.40737212,Plasmid
315,0.7598264,0.405705,Plasmid
407,0.657449,0.3570376,Plasmid
192,0.7295966,0.41560942,Plasmid
374,0.6626506,0.36156884,Plasmid
461,0.93965024,0.92936444,Ambiguous
534,0.7721669,0.30567613,Plasmid
492,0.72226816,0.61648643,Ambiguous
296,0.73872966,0.40862772,Plasmid
216,0.6120625,0.3671054,Plasmid
532,0.71186495,0.27576688,Plasmid
351,0.6577554,0.35747966,Plasmid
12,0.35773554,0.5711401,Chromosome
213,0.669608,0.37304845,Plasmid
292,0.71819764,0.40644982,Plasmid
586,0.8291134,0.5435331,Ambiguous
109,0.6143874,0.41625684,Plasmid
516,0.7322981,0.75929964,Ambiguous
181,0.66209906,0.3653272,Plasmid
31,0.122256026,0.825524,Chromosome
95,0.5462202,0.40932643,Plasmid
553,0.879285,0.803988,Ambiguous
405,0.75617665,0.39255762,Plasmid
154,0.75106746,0.43910778,Plasmid
520,0.53932035,0.44269022,Plasmid
607,0.8561014,0.9337981,Ambiguous
92,0.660367,0.4348964,Plasmid
487,0.67397493,0.30484226,Plasmid
437,0.81387436,0.4561031,Plasmid
76,0.55009073,0.3909463,Plasmid
435,0.64626396,0.3206562,Plasmid
511,0.7176374,0.35985106,Plasmid
298,0.624337,0.3571221,Plasmid
614,0.6764386,0.46377653,Plasmid
424,0.8478431,0.6608985,Ambiguous
331,0.6363957,0.36924472,Plasmid
620,0.7821155,0.29640883,Plasmid
591,0.99460816,0.99666387,Ambiguous
571,0.99738437,0.99581945,Ambiguous
566,0.74691033,0.72371364,Ambiguous
63,0.3971875,0.54677725,Chromosome
561,0.558037,0.43509278,Plasmid
579,0.77774066,0.3180371,Plasmid
598,0.7949569,0.33645722,Plasmid
370,0.64470714,0.34960774,Plasmid
470,0.65921205,0.2959895,Plasmid
589,0.71388036,0.6896131,Ambiguous
418,0.8705469,0.8146753,Ambiguous
478,0.6834457,0.3035876,Plasmid
112,0.6556928,0.36141852,Plasmid
51,0.22228526,0.7250868,Chromosome
44,0.689064,0.4308477,Plasmid
120,0.66582996,0.33789846,Plasmid
621,0.85528606,0.8732786,Ambiguous
524,0.69064456,0.34222984,Plasmid
257,0.7488462,0.4326353,Plasmid
602,0.78523904,0.2982312,Plasmid
165,0.62875116,0.37641436,Plasmid
335,0.6318498,0.35033822,Plasmid
111,0.44901505,0.49431303,not_labelled
464,0.6642931,0.31557503,Plasmid
410,0.6991958,0.37668958,Plasmid
117,0.4409119,0.49551505,not_labelled
142,0.64074606,0.3678887,Plasmid
273,0.6573457,0.39133975,Plasmid
168,0.5663391,0.39496902,Plasmid
145,0.5338771,0.41714656,Plasmid
246,0.6256169,0.37849346,Plasmid
264,0.6037629,0.3643978,Plasmid
372,0.7290209,0.40345356,Plasmid
499,0.67658544,0.30398917,Plasmid
521,0.65588593,0.39206246,Plasmid
604,0.69146276,0.5343422,Ambiguous
91,0.61116326,0.37290648,Plasmid
171,0.59676754,0.3737279,Plasmid
247,0.64747685,0.38289896,Plasmid
278,0.611014,0.3577476,Plasmid
420,0.6493442,0.3024925,Plasmid
469,0.668781,0.2857384,Plasmid
501,0.68168485,0.3090538,Plasmid
144,0.73466206,0.4169601,Plasmid
169,0.7160349,0.43701074,Plasmid
352,0.6553494,0.35100746,Plasmid
368,0.6543897,0.35595423,Plasmid
72,0.5295278,0.40913388,Plasmid
378,0.6737609,0.36207378,Plasmid
6,0.71938777,0.3538105,Plasmid
565,0.7229819,0.2929883,Plasmid
252,0.66175085,0.35413048,Plasmid
625,0.99558276,0.9968918,Ambiguous
398,0.67326,0.36979693,Plasmid
191,0.7196188,0.40898746,Plasmid
386,0.6678204,0.36459845,Plasmid
347,0.6630827,0.36839333,Plasmid
466,0.683615,0.34667653,Plasmid
507,0.70966977,0.32668912,Plasmid
415,0.6977115,0.38038957,Plasmid
402,0.6638834,0.35953456,Plasmid
46,0.5762544,0.40714267,Plasmid
474,0.6808358,0.3098451,Plasmid
261,0.6144217,0.3587133,Plasmid
440,0.759677,0.3805614,Plasmid
475,0.8242732,0.4723011,Plasmid
552,0.713179,0.29783648,Plasmid
188,0.59866226,0.3679613,Plasmid
599,0.5939184,0.40074655,Plasmid
167,0.6808154,0.42804706,Plasmid
396,0.6253592,0.33018866,Plasmid
316,0.77897733,0.55713624,Ambiguous
25,0.16563451,0.78212774,Chromosome
210,0.7329679,0.4374356,Plasmid
1,0.0006502185,0.99878067,Chromosome
455,0.659699,0.32157966,Plasmid
13,0.29888272,0.6060389,Chromosome
556,0.8235225,0.6233146,Ambiguous
121,0.6027791,0.3891825,Plasmid
305,0.75503117,0.42895833,Plasmid
287,0.64068854,0.35369676,Plasmid
248,0.6144548,0.36350295,Plasmid
237,0.6303525,0.34516674,Plasmid
215,0.6236609,0.372941,Plasmid
146,0.56061465,0.3961236,Plasmid
422,0.68810916,0.33728486,Plasmid
310,0.685732,0.2922988,Plasmid
465,0.72290814,0.3936422,Plasmid
151,0.6123447,0.37332785,Plasmid
481,0.7645894,0.36075303,Plasmid
332,0.6598868,0.36257082,Plasmid
525,0.6952208,0.29360184,Plasmid
41,0.14266485,0.80282664,Chromosome
306,0.6870434,0.3819021,Plasmid
606,0.77782106,0.30277067,Plasmid
588,0.24738991,0.88697135,Chromosome
559,0.11010449,0.89870656,Chromosome
309,0.66130066,0.36746886,Plasmid
569,0.72806466,0.28431892,Plasmid
327,0.63217705,0.3450922,Plasmid
323,0.6265684,0.35851926,Plasmid
283,0.64028925,0.33918548,Plasmid
149,0.5551186,0.40007126,Plasmid
84,0.39528385,0.5429426,Chromosome
24,0.3967676,0.54361165,Chromosome
105,0.49651894,0.44839683,not_labelled
116,0.57906324,0.3777215,Plasmid
130,0.61508536,0.37877622,Plasmid
